"Type";"MaalerId";"Tidspunkt";"Maaling"
"4";"400101";"26-02-2024 21:30:51";"42280"
"4";"400102";"26-02-2024 21:32:06";"73574"
"4";"400103";"26-02-2024 21:33:21";"47358"
"4";"400104";"26-02-2024 21:34:36";"68031"
"4";"400105";"26-02-2024 21:35:51";"29056"
"4";"400106";"26-02-2024 21:37:06";"35284"
"4";"400107";"26-02-2024 21:38:21";"35929"
"4";"400108";"26-02-2024 21:39:36";"77995"
"4";"400109";"26-02-2024 21:40:51";"23023"
"4";"400110";"26-02-2024 21:42:06";"52228"
"4";"400111";"26-02-2024 21:43:21";"54262"
"4";"400112";"26-02-2024 21:44:36";"25252"
"4";"400113";"26-02-2024 21:45:51";"22197"
"4";"400114";"26-02-2024 21:47:06";"6442"
"4";"400115";"26-02-2024 21:48:21";"87378"
"4";"400116";"26-02-2024 21:49:36";"32826"
"4";"400117";"26-02-2024 21:50:51";"50246"
"4";"400118";"26-02-2024 21:52:06";"67991"
"4";"400119";"26-02-2024 21:53:21";"33344"
"4";"400120";"26-02-2024 21:54:36";"67604"
"4";"400121";"26-02-2024 21:55:51";"20963"
"4";"400122";"26-02-2024 21:57:06";"7537"
"4";"400123";"26-02-2024 21:58:21";"85348"
"4";"400124";"26-02-2024 21:59:36";"42049"
"4";"400125";"26-02-2024 22:00:51";"7394"
"4";"400126";"26-02-2024 22:02:06";"53935"
"4";"400127";"26-02-2024 22:03:21";"38382"
"4";"400128";"26-02-2024 22:04:36";"26406"
"4";"400129";"26-02-2024 22:05:51";"52787"
"4";"400130";"26-02-2024 22:07:06";"13150"
"4";"400131";"26-02-2024 22:08:21";"31266"
"4";"400132";"26-02-2024 22:09:36";"53510"
"4";"400133";"26-02-2024 22:10:51";"46670"
"4";"400134";"26-02-2024 22:12:06";"57350"
"4";"400135";"26-02-2024 22:13:21";"11955"
"4";"400136";"26-02-2024 22:14:36";"14891"
"4";"400137";"26-02-2024 22:15:51";"80841"
"4";"400138";"26-02-2024 22:17:06";"60033"
"4";"400139";"26-02-2024 22:18:21";"53019"
"4";"400140";"26-02-2024 22:19:36";"56602"
"4";"400141";"26-02-2024 22:20:51";"29491"
"4";"400142";"26-02-2024 22:22:06";"14977"
"4";"400143";"26-02-2024 22:23:21";"46598"
"4";"400144";"26-02-2024 22:24:36";"72325"
"4";"400145";"26-02-2024 22:25:51";"45807"
"4";"400146";"26-02-2024 22:27:06";"80098"
"4";"400147";"26-02-2024 22:28:21";"16829"
"4";"400148";"26-02-2024 22:29:36";"44359"
"4";"400149";"26-02-2024 22:30:51";"29675"
"4";"400150";"26-02-2024 22:32:06";"35269"
"4";"400151";"26-02-2024 22:33:21";"11964"
"4";"400152";"26-02-2024 22:34:36";"50594"
"4";"400153";"26-02-2024 22:35:51";"54128"
"4";"400154";"26-02-2024 22:37:06";"83135"
"4";"400155";"26-02-2024 22:38:21";"73246"
"4";"400156";"26-02-2024 22:39:36";"46628"
"4";"400157";"26-02-2024 22:40:51";"35073"
"4";"400158";"26-02-2024 22:42:06";"44538"
"4";"400159";"26-02-2024 22:43:21";"15984"
"4";"400160";"26-02-2024 22:44:36";"29156"
"4";"400161";"26-02-2024 22:45:51";"57495"
"4";"400162";"26-02-2024 22:47:06";"55799"
"4";"400163";"26-02-2024 22:48:21";"61934"
"4";"400164";"26-02-2024 22:49:36";"42868"
"4";"400165";"26-02-2024 22:50:51";"56830"
"4";"400166";"26-02-2024 22:52:06";"59195"
"4";"400167";"26-02-2024 22:53:21";"13743"
"4";"400168";"26-02-2024 22:54:36";"32613"
"4";"400169";"26-02-2024 22:55:51";"53785"
"4";"400170";"26-02-2024 22:57:06";"37494"
"4";"400171";"26-02-2024 22:58:21";"57387"
"4";"400172";"26-02-2024 22:59:36";"37670"
"4";"400173";"26-02-2024 23:00:51";"25426"
"4";"400174";"26-02-2024 23:02:06";"3686"
"4";"400175";"26-02-2024 23:03:21";"5359"
"4";"400176";"26-02-2024 23:04:36";"33318"
"4";"400177";"26-02-2024 23:05:51";"34643"
"4";"400178";"26-02-2024 23:07:06";"48983"
"4";"400179";"26-02-2024 23:08:21";"57816"
"4";"400180";"26-02-2024 23:09:36";"65031"
"4";"400181";"26-02-2024 23:10:51";"66291"
"4";"400182";"26-02-2024 23:12:06";"46289"
"4";"400183";"26-02-2024 23:13:21";"34975"
"4";"400184";"26-02-2024 23:14:36";"71855"
"4";"400185";"26-02-2024 23:15:51";"73977"
"4";"400186";"26-02-2024 23:17:06";"24932"
"4";"400187";"26-02-2024 23:18:21";"32590"
"4";"400188";"26-02-2024 23:19:36";"68108"
"4";"400189";"26-02-2024 23:20:51";"86648"
"4";"400190";"26-02-2024 23:22:06";"50043"
"4";"400191";"26-02-2024 23:23:21";"56571"
"4";"400192";"26-02-2024 23:24:36";"28842"
"4";"400193";"26-02-2024 23:25:51";"28628"
"4";"400194";"26-02-2024 23:27:06";"8975"
"4";"400195";"26-02-2024 23:28:21";"30920"
"4";"400196";"26-02-2024 23:29:36";"38517"
"4";"400197";"26-02-2024 23:30:51";"26226"
"4";"400198";"26-02-2024 23:32:06";"45395"
"4";"400199";"26-02-2024 23:33:21";"79580"
"4";"400200";"26-02-2024 23:34:36";"19459"
